UserFirstName,UserLastName,Roles,PhoneNo
Ulysses,Jefferson,Technician,8572341979
Ronald,Arthur,Technician,8572341980
Bill,Carter,Technician,8572341981
Chester,Fillmore,Technician,8572341982
Benjamin,Carter,Technician,8572341983
Calvin,Johnson,Technician,8572341984
Bill,Buchanan,Technician,8572341985
Warren,Clinton,Technician,8572341986
George,McKinley,Technician,8572341987
John,Hoover,Technician,8572341988
Rutherford,Arthur,Technician,8572341989
George,Washington,Technician,8572341990
Martin,Arthur,Technician,8572341991
George,Adams,Technician,8572341992
Grover,Van Buren,Technician,8572341993
Martin,Johnson,Technician,8572341994
Woodrow,Wilson,Technician,8572341995
Dwight,Clinton,Technician,8572341996
Andrew,Madison,Technician,8572341997
Dwight,Coolidge,Technician,8572341998
Millard,Van Buren,Technician,8572341999
Harry,Reagan,Technician,8572342000
Millard,Harrison,Technician,8572342001
Thomas,Carter,Technician,8572342002
Warren,Harrison,Technician,8572342003
Lyndon,Quincy,Technician,8572342004
James,Clinton,Technician,8572342005
Andrew,Hayes,Technician,8572342006
Jimmy,Tyler,Technician,8572342007
Benjamin,Truman,Technician,8572342008
Dwight,Adams,Technician,8572342009
John,Harding,Technician,8572342010
Herbert,Clinton,Technician,8572342011
Ulysses,Monroe,Technician,8572342012
Woodrow,Grant,Technician,8572342013
Millard,Polk,Technician,8572342014
Millard,Arthur,Technician,8572342015
Harry,Truman,Technician,8572342016
William,Adams,Technician,8572342017
James,Harding,Technician,8572342018
Calvin,Harding,Technician,8572342019
